Nome da Faixa,Cantor ou Compositor,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Genero_Avant-Garde,Genero_Blues,Genero_Children's,Genero_Classical,Genero_Comedy/Spoken,Genero_Country,Genero_Easy Listening,Genero_Electronic,Genero_Folk,Genero_Holiday,Genero_International,Genero_Jazz,Genero_Latin,Genero_New Age,Genero_Pop/Rock,Genero_R&B,Genero_Rap,Genero_Reggae,Genero_Religious,Genero_Stage & Screen,Genero_Vocal,Quadrante_Q1,Quadrante_Q2,Quadrante_Q3,Quadrante_Q4
Agua de Beber,Antônio Carlos Jobim,1.6350000000000002,1.977,0.783,2.361,12,0.2304,-60.795,0,0.1311,411.945,12,2.643,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
All Fall Down,Against All Authority,0.00816,0.322,0.987,0.163,11,0.104,-2.711,0,0.0585,89.016,4,0.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
All Good,De La Soul,0.0127,0.875,0.598,2.3e-06,2,0.021,-5.481,1,0.253,96.863,4,0.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
All We Got,Michael McDonald,0.101,0.783,0.866,0.00106,5,0.051,-9.95,0,0.0452,120.554,4,0.876,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Allegiance,Proletariat,0.0019,0.366,0.893,0.000163,9,0.151,-8.585,0,0.245,161.526,4,0.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Almeno Stavolta,Nek,0.00355,0.636,0.76,2.68e-06,2,0.123,-6.701,0,0.0287,149.924,4,0.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Alone Together,Lee Konitz,1.968,1.098,0.1278,1.292,4,0.206,-40.7,0,0.1158,229.78,6,0.556,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Always Returning,Brian Eno,2.061,0.897,0.342,2.577,30,0.2292,-73.065,3,0.126,212.187,12,0.393,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Amanecí en Tus Brazos,Los Dandy's,0.658,0.816,0.682,0.0,14,0.5,-26.452,2,0.0964,205.654,8,0.772,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Ambition,New Model Army,3.36e-05,0.878,1.452,0.078,0,0.438,-25.172,2,0.0708,210.242,8,1.588,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
America Loves Gangsters,CunninLynguists,0.617,0.63,0.43,0.12,1,0.348,-8.36,1,0.128,92.938,4,0.0745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Amor Gitano,Beyoncé,1.419,1.4729999999999999,2.235,0.0,12,0.717,-16.893,0,0.762,503.625,12,1.7879999999999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
Amrita,Steven Halpern,2.952,0.399,0.2646,2.748,0,0.2817,-70.185,3,0.1251,543.249,9,0.1008,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Angelitos Negros,Roberta Flack,2.586,1.0050000000000001,0.42299999999999993,0.014850000000000002,12,0.324,-51.269999999999996,0,0.1119,424.161,12,0.2574,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Animal City,Shakira,0.812,3.124,3.296,0.0,24,1.556,-17.648,0,0.428,560.132,16,3.544,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
Another Victim,Faith,0.0198,0.462,0.905,0.897,11,0.422,-9.901,0,0.102,98.893,4,0.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Anutha Zone,Dr. John,0.528,1.47,1.424,0.000654,14,0.1266,-19.496,2,0.0498,186.88,8,1.866,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Artificial Girl,Crucifucks,0.0133,0.424,0.914,3.65e-06,4,0.179,-7.609,0,0.0564,109.54,4,0.643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
As Long as I Live,Lena Horne,2.988,1.452,0.2943,2.448,30,1.56,-60.702000000000005,3,0.624,204.342,9,1.905,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
Ask Me,Sugar Pie DeSanto,1.43,0.49,0.812,0.0,0,0.572,-13.324,2,0.0666,360.122,6,1.026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Attesa,Sarah Brightman,1.766,0.44,0.864,0.115,14,0.612,-16.306,2,0.0656,166.552,8,0.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Authority,Void,0.139,0.229,0.995,0.00483,4,0.358,-5.219,1,0.122,102.446,4,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Baby You Don't Want Me,Furry Lewis,0.803,0.411,0.153,8.22e-05,5,0.0702,-18.69,1,0.0365,140.165,4,0.178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Back Inside,Obituary,1.31e-05,0.41,0.939,0.00267,2,0.0445,-4.905,1,0.146,131.381,4,0.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Bad Day,The Blueskins,0.00131,0.506,1.778,0.000978,0,0.302,-9.102,2,0.0822,298.766,8,1.496,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Bailamos,Enrique Iglesias,0.1064,1.258,1.77,0.00504,14,0.21,-9.016,2,0.0768,199.762,8,1.134,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Ballad of the Sad Young Men,Roberta Flack,1.81,0.432,0.202,0.029,20,0.288,-33.378,2,0.074,155.334,6,0.316,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Bananza (Belly Dancer),Akon,0.0724,1.75,1.38,7.62e-06,20,1.458,-11.81,0,0.26,209.688,8,1.336,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Bandstand Boogie,Barry Manilow,0.552,0.63,0.791,0.0,4,0.0787,-9.121,1,0.0836,91.917,4,0.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Bard Dance,Enya,1.341,1.443,0.486,2.856,21,0.327,-71.05499999999999,0,0.20700000000000002,528.1320000000001,12,1.977,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Be My Dream,Suicide,0.702,1.028,1.82,1.532,0,0.538,-23.05,0,0.099,328.688,8,0.308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Be Your Girl,Teedra Moses,0.208,0.864,0.682,5.27e-06,6,0.1,-6.73,0,0.386,115.012,4,0.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Beat the Bastards,The Exploited,4.15e-05,0.339,0.989,0.0178,8,0.124,-4.346,1,0.15,120.167,4,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Beautiful Boy,Céline Dion,1.222,1.46,0.9,4.56e-05,14,0.748,-21.44,2,0.0938,222.096,8,1.206,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Beer Run,Garth Brooks,0.642,0.473,0.779,0.000368,7,0.0624,-8.945,1,0.0823,156.54,4,0.875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bell Tower,Kitaro,0.974,0.195,0.287,0.937,9,0.0882,-12.862,1,0.0489,191.859,3,0.254,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Beneath the Crimson Vaults of Cydonia,Bal-Sagoth,5.26e-06,0.382,1.938,1.246,20,0.304,-8.612,0,0.204,396.04,8,0.272,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Beware of the Man (With the Candy in His Hand),The Dramatics,0.251,0.562,0.7,0.0585,9,0.639,-11.039,0,0.0667,96.596,4,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Bichasniguz,Onyx,0.00183,0.787,0.587,8.27e-05,1,0.147,-11.23,1,0.37,96.0,4,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Big Bad Bill,Spike Jones,1.932,1.66,1.006,0.0362,0,0.55,-18.512,2,0.18,291.558,8,1.96,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Big Mouth,Gorilla Biscuits,2.02e-05,0.429,0.701,0.00127,1,0.0374,-11.364,0,0.0523,112.97,5,0.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Billie's Blues,Billie Holiday,1.83,1.486,0.742,0.000618,6,0.706,-19.018,2,0.1066,230.198,8,1.612,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Billie's Blues,Holiday & the Adventure Pop Collective,1.83,1.486,0.742,0.000618,6,0.706,-19.018,2,0.1066,230.198,8,1.612,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Black Girls,Violent Femmes,0.0834,1.8239999999999998,1.83,1.0050000000000001,33,0.1107,-41.97,0,0.2106,363.82500000000005,12,2.007,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Black; Brown and White,Big Bill Broonzy,0.501,0.839,0.81,0.0,5,0.117,-5.274,0,0.0568,129.014,4,0.814,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Blood on the Motorway,DJ Shadow,0.1744,0.696,1.14,1.25,18,0.1854,-22.04,0,0.0786,231.666,8,0.1342,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Blue Christmas,The Jordanaires,1.452,1.234,0.966,0.000624,8,0.214,-17.884,2,0.052,202.116,8,1.266,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Blue Heat,Cabaret Voltaire,0.029,1.478,1.558,1.588,20,0.1938,-16.428,2,0.0844,253.614,8,1.604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Blues de Ma Negresse,Clifton Chenier,2.169,1.008,1.278,7.02e-05,0,0.41700000000000004,-39.372,3,0.675,240.546,12,1.7489999999999999,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Blues for O.P.,Joe Pass,0.986,0.61,0.0834,0.952,8,0.126,-24.423,0,0.0922,92.67,4,0.857,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Blume,Einstürzende Neubauten,1.37,0.912,0.0788,0.0001102,2,0.22,-44.652,2,0.139,166.688,10,0.094,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Body & Soul,Tuck & Patti,0.402,1.784,1.428,0.000468,8,0.1042,-12.11,0,0.282,201.944,8,1.634,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Borderlands,David Arkenstone,0.924,0.992,0.464,1.7,2,0.151,-37.132,0,0.0554,203.884,8,0.202,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Brahms' Lullaby,Kenny G,1.908,0.508,0.376,0.592,6,0.284,-26.58,2,0.0732,279.626,8,0.294,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Brazil,The Coasters,1.46,1.278,0.856,4.08e-06,10,0.228,-23.166,0,0.089,292.76,8,1.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Break Me; Shake Me,Enrique Iglesias,0.452,0.92,1.142,0.0,8,0.546,-11.7,2,0.0708,277.258,8,1.056,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Break Yourself,Xzibit,0.219,0.913,0.778,0.0,0,0.0307,-5.395,0,0.17,116.908,4,0.808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Breakdown,Handsome Boy Modeling School,0.79,1.496,1.29,0.0346,0,0.268,-11.686,2,0.1684,161.056,8,0.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Broke,D.R.I.,0.00147,0.335,0.942,0.00347,11,0.308,-6.795,0,0.0856,96.674,4,0.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Broke Willies,Onyx,0.00166,0.774,0.589,0.0,1,0.108,-11.369,0,0.25,93.122,4,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Bronze Dance,Donald Byrd,0.783,0.564,0.434,0.333,8,0.0875,-11.899,1,0.103,96.931,4,0.685,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Brother Harold Dee,Porter Wagoner,0.717,0.534,0.261,1.48e-06,9,0.0871,-13.073,1,0.187,129.0,3,0.343,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brother; Can You Spare a Dime?,Bing Crosby,0.00452,1.442,1.476,8.82e-06,14,0.236,-9.54,2,0.0806,239.952,8,1.274,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Buggy Jail House Blues,Lillie Mae,0.979,0.547,0.361,4.23e-06,11,0.231,-8.817,1,0.032,79.98,4,0.446,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bulldog Down in Sunny Tennessee,Charlie Poole,1.92,1.298,0.78,5.2e-06,10,0.192,-24.474,2,0.0834,334.696,8,1.806,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bumpy Weather Over Newark,Raymond Scott,4.59,2.9349999999999996,3.025,4.575,35,3.3200000000000003,-56.315,0,1.2149999999999999,427.765,20,3.21,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
Busy Port,Les Baxter,0.825,0.402,0.214,0.479,2,0.346,-17.631,1,0.0381,153.57,4,0.544,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Can You Stand the Rain,New Edition,2.0340000000000003,1.842,1.107,0.007050000000000001,24,0.42899999999999994,-45.546,3,0.1059,429.957,12,2.199,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Candela,Don Omar,0.53,3.43,4.595000000000001,0.002495,40,1.675,-12.264999999999999,0,0.4145,800.26,20,4.0649999999999995,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
Cao Cao Maní Picao,Tito Puente,1.272,1.342,1.568,0.0001914,0,0.384,-13.532,2,0.234,179.71,8,1.652,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Care,Youth Brigade,4.44e-06,0.268,0.873,0.838,11,0.229,-12.935,0,0.0835,141.818,4,0.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Carnal Tomb,Dismember,0.0002118,0.48,2.982,2.382,3,1.242,-7.563,3,0.729,288.23699999999997,12,0.23760000000000003,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Cause of Death,Obituary,2.41e-05,0.284,0.978,0.00754,9,0.121,-7.931,0,0.137,140.758,4,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Certain Gift,The Walkabouts,0.172,0.463,0.289,0.523,4,0.0598,-16.844,1,0.0339,122.92,4,0.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Chico and the Man,José Feliciano,1.434,1.396,1.334,0.0,18,0.282,-15.728,2,0.0984,174.276,8,1.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Choppa Style,Choppa,0.245,0.867,0.89,4.46e-06,6,0.236,-4.032,0,0.201,99.998,4,0.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Chosen Race,Samael,1.23e-05,0.402,0.959,0.175,3,0.305,-6.67,1,0.0677,126.285,4,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Christmas Time (Greensleeves),Alvin & the Chipmunks,1.742,0.508,0.404,0.0254,8,0.304,-19.788,0,0.063,354.556,8,0.96,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Château Rouge,Fennesz,2.6189999999999998,0.339,0.9690000000000001,2.907,3,0.315,-47.808,3,0.11580000000000001,523.6379999999999,9,0.756,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Cold Days Of February,Robin Williamson,0.915,0.642,0.0254,0.0,3,0.142,-22.058,1,0.466,78.74,5,0.141,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cold; Cold Feeling,Albert Collins,6.06e-05,0.451,0.815,0.0,2,0.27,-5.55,0,0.0368,147.974,4,0.618,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Come Together,Third Day,0.564,0.465,0.285,7.68e-06,8,0.123,-9.71,1,0.0305,131.528,4,0.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Come to Rest,Blindside,0.003964,1.944,3.344,0.001372,20,0.3792,-28.292,4,0.258,503.568,16,0.29,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Comfort Zone; Pt. 1,Steven Halpern,2.859,0.5489999999999999,0.1119,2.604,27,0.2526,-94.30499999999999,3,0.11309999999999999,409.20899999999995,3,0.708,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Common Thread,Bobby McFerrin,1.898,0.25,0.1748,0.252,2,0.1958,-39.756,2,0.0672,107.128,8,0.1086,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Common Threads,Bobby McFerrin,1.898,0.25,0.1748,0.252,2,0.1958,-39.756,2,0.0672,107.128,8,0.1086,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Como Ayer,Gipsy Kings,1.608,1.266,1.106,0.001732,0,0.278,-17.702,2,0.0752,175.216,8,1.476,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Composition 101,Anthony Braxton,0.974,0.483,0.0879,0.242,7,0.145,-19.583,0,0.0805,136.211,5,0.222,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Confissao,Madredeus,1.938,0.674,0.00902,0.0001142,8,0.1842,-50.112,0,0.0874,195.0,8,0.394,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Conga,Miami Sound Machine,0.504,2.367,1.968,0.1227,6,0.0933,-44.474999999999994,3,0.1422,366.711,12,2.5949999999999998,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Cool Drink of Water,Brooks & Dunn,0.11,0.674,0.911,8e-06,2,0.0637,-9.24,0,0.0291,112.221,4,0.879,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cool; Cool Water (Instrumental Insert),The Beach Boys,0.653,0.752,0.65,0.00136,5,0.105,-6.683,0,0.12,134.993,4,0.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cover to Cover,Billy Ray Cyrus,1.446,1.408,0.742,0.0,14,0.286,-21.048,2,0.0512,210.06,8,0.394,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Cranked up Really High,Slaughter & the Dogs,4.83e-05,0.141,0.759,0.0244,11,0.301,-8.299,0,0.0473,182.171,4,0.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Crazy Rhythm,Stan Kenton,1.354,0.872,0.814,0.0001062,10,0.25,-25.09,2,0.1298,191.296,8,1.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Creation,Peter Tosh,0.149,0.188,0.682,0.0116,0,0.114,-10.68,1,0.159,80.495,4,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Crime Story,MC Hammer,0.000882,1.738,0.956,0.00544,2,0.512,-25.268,2,0.114,236.284,8,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Crippled Inside,John Lennon,0.386,1.09,1.216,0.1398,0,0.1538,-18.744,2,0.0738,331.234,8,1.362,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Crystal Suite,Steven Halpern,2.964,0.5249999999999999,0.00906,2.901,21,0.948,-104.946,3,0.1533,225.34499999999997,9,0.10439999999999999,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Cuban Carnival,Stan Kenton,0.611,0.47,0.69,0.258,8,0.0781,-8.217,1,0.204,137.483,4,0.442,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Cuidado,Vicentico,0.55,1.378,1.32,0.00031,2,0.2,-19.15,2,0.0888,172.204,8,1.928,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
