Nome da Faixa,Cantor ou Compositor,Gênero,Quadrante,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Can You Stand the Rain,New Edition,Electronic; Pop/Rock; R&B,Q4,0.678,0.614,0.369,0.00235,8,0.143,-15.182,1,0.0353,143.319,4,0.733
Shake Your Moneymaker,Elmore James,Blues,Q1,0.705,0.499,0.674,0.000273,2,0.0775,-5.484,1,0.0517,100.741,4,0.627
I Gotta Right to Sing the Blues,Billie Holiday,Jazz; Blues; Vocal,Q3,0.924,0.619,0.213,0.0,7,0.0905,-14.608,1,0.046,108.829,4,0.521
I Lost My Woman,Big Maceo Merriweather,Blues,Q3,0.967,0.575,0.37,0.0102,7,0.133,-15.199,1,0.0346,89.127,4,0.719
Bumpy Weather Over Newark,Raymond Scott,Comedy/Spoken; Stage & Screen; Easy Listening; Pop/Rock; Jazz,Q3,0.918,0.587,0.605,0.915,7,0.664,-11.263,0,0.243,85.553,4,0.642
Château Rouge,Fennesz,Avant-Garde; Electronic; Pop/Rock,Q3,0.873,0.113,0.323,0.969,1,0.105,-15.936,1,0.0386,174.546,3,0.252
Fmlyhm,Seether,Pop/Rock; Stage & Screen,Q2,0.000298,0.371,0.819,1.74e-06,2,0.143,-4.366,1,0.0493,195.959,4,0.305
Cuban Carnival,Stan Kenton,Jazz,Q1,0.611,0.47,0.69,0.258,8,0.0781,-8.217,1,0.204,137.483,4,0.442
It's Not Unusual,Tom Jones,Pop/Rock; Vocal,Q1,0.494,0.384,0.884,2.02e-06,10,0.705,-10.09,1,0.165,102.166,4,0.5
Of Devilish Tongues,...And Oceans,Electronic; International; Pop/Rock,Q2,0.000571,0.233,0.86,0.377,8,0.0268,-7.122,1,0.115,169.983,4,0.164
Worlds Apart,Silverstein,Pop/Rock,Q2,0.0476,0.507,0.747,0.0,1,0.104,-3.854,1,0.0302,129.892,4,0.492
Thanks for the Memory,Rod Stewart,Vocal; Pop/Rock,Q4,0.613,0.436,0.485,0.0,10,0.232,-8.228,1,0.038,96.797,4,0.147
Sound of Music,Percy Faith,Easy Listening; Vocal,Q4,0.929,0.199,0.234,0.926,2,0.456,-18.027,1,0.0347,88.808,4,0.092
Since I Fell for You,Jon Hendricks,Jazz; Vocal,Q3,0.89,0.368,0.136,7.09e-06,10,0.712,-18.567,1,0.0441,185.512,3,0.234
Mi Buen Amor,Gloria Estefan,Latin; Pop/Rock,Q4,0.413,0.614,0.388,0.0,0,0.409,-10.141,1,0.0375,119.935,4,0.595
The Becoming,Little Brother,Rap,Q1,0.363,0.658,0.785,0.0,1,0.306,-6.458,1,0.395,89.465,4,0.904
Tumbao,Cal Tjader,Jazz,Q1,0.849,0.49,0.812,0.902,2,0.0856,-14.642,1,0.0676,123.003,4,0.655
Mandy; Make up Your Mind,Sidney Bechet,Jazz,Q1,0.418,0.308,0.464,2.49e-06,10,0.143,-9.032,1,0.0279,103.734,4,0.318
Discharged Reason,Nuclear Assault,Pop/Rock,Q2,0.000166,0.314,0.994,0.00455,8,0.0388,-6.431,1,0.0923,109.118,4,0.0648
Blues for O.P.,Joe Pass,Jazz,Q4,0.986,0.61,0.0834,0.952,8,0.126,-24.423,0,0.0922,92.67,4,0.857
Long Winter,Ziggy Marley,Reggae,Q3,0.0495,0.672,0.427,0.0,0,0.184,-8.913,1,0.0366,129.981,5,0.854
Certain Gift,The Walkabouts,Pop/Rock,Q3,0.172,0.463,0.289,0.523,4,0.0598,-16.844,1,0.0339,122.92,4,0.406
You Don't Know Me,Apparat,Classical; Electronic,Q3,0.0143,0.409,0.757,0.907,2,0.179,-6.853,0,0.0375,82.407,4,0.23
Trouble in Mind,Cephas & Wiggins,Blues,Q4,0.738,0.618,0.225,0.0,4,0.0965,-12.815,1,0.0382,110.158,4,0.617
No Man Army,The Prodigy,Electronic,Q2,0.00553,0.625,0.99,0.757,4,0.0795,-4.805,0,0.0551,108.2,4,0.226
Get Down off of the Train,The Isley Brothers,R&B,Q1,0.637,0.497,0.604,0.0,2,0.582,-8.092,1,0.0457,84.663,4,0.787
Poison,Maxim,Electronic,Q2,0.719,0.311,0.271,1.04e-05,2,0.185,-10.909,1,0.0284,107.665,3,0.133
Roll 'Em Pete,Jimmy Reed,Blues; R&B,Q3,0.894,0.727,0.235,0.000573,4,0.305,-14.915,1,0.0335,98.266,4,0.845
You Got Me Crying,Jimmy Reed,Blues; R&B,Q3,0.859,0.508,0.487,0.00116,6,0.215,-7.568,0,0.0431,184.946,3,0.632
Stupid; Stupid War,D.R.I.,Pop/Rock,Q2,0.0277,0.92,0.833,0.0,1,0.0596,-3.18,1,0.253,141.034,4,0.645
Simple Things,Jim Brickman,New Age; Pop/Rock,Q4,0.213,0.622,0.596,2.51e-05,0,0.0842,-10.164,1,0.0322,92.009,4,0.618
Authority,Void,Pop/Rock,Q2,0.139,0.229,0.995,0.00483,4,0.358,-5.219,1,0.122,102.446,4,0.144
I Can See Now,Dead Can Dance,Jazz; New Age; Pop/Rock,Q3,0.687,0.193,0.306,3.96e-06,4,0.31,-11.013,0,0.0281,72.357,1,0.183
Back Inside,Obituary,Pop/Rock,Q2,1.31e-05,0.41,0.939,0.00267,2,0.0445,-4.905,1,0.146,131.381,4,0.186
Wheels,Jonathan Edwards,Country; International,Q4,0.42,0.569,0.411,0.000147,5,0.0891,-10.592,1,0.0288,117.562,4,0.551
Mil Besos,María Victoria,International; Latin,Q3,0.272,0.365,0.191,6.74e-06,4,0.0543,-15.322,1,0.0397,85.523,4,0.249
La Bikina,Celia Cruz,Latin,Q1,0.83,0.492,0.58,2.54e-06,5,0.206,-8.169,1,0.0379,125.69,4,0.741
Talk That Talk; Pt. 2,The Rance Allen Group,R&B; Religious,Q2,0.186,0.793,0.512,3.81e-05,0,0.0889,-9.319,1,0.0338,109.994,4,0.0662
El Pescador,Celia Cruz,Latin,Q1,0.863,0.626,0.587,0.000537,10,0.0715,-8.69,1,0.103,158.477,4,0.881
Shisheido,Fennesz,Electronic; Avant-Garde; Pop/Rock; Jazz,Q3,0.807,0.599,0.322,0.792,9,0.0947,-11.877,1,0.0332,119.963,4,0.206
Racetrack Blues,Lightnin' Hopkins,Blues,Q3,0.992,0.537,0.0509,0.188,4,0.122,-21.18,0,0.0468,98.261,4,0.518
Hound Dog,The Jordanaires,Pop/Rock,Q1,0.608,0.351,0.627,5.72e-06,0,0.157,-9.462,1,0.055,95.658,4,0.865
Fourth of July,Mariah Carey,Electronic; R&B; Pop/Rock,Q4,0.598,0.55,0.562,4.24e-06,9,0.067,-7.392,1,0.0464,148.167,4,0.281
The Man That Got Away,Ella Fitzgerald,Jazz; Vocal,Q3,0.93,0.34,0.149,0.0,7,0.203,-15.812,0,0.0316,64.372,4,0.165
Solo; Solo Dire,Gipsy Kings,International; Jazz,Q1,0.0538,0.784,0.486,0.497,5,0.101,-6.497,0,0.0475,110.964,4,0.0894
Ghetto Ties,C-Murder,Rap,Q3,0.0223,0.739,0.71,1.58e-06,1,0.0997,-9.251,1,0.172,144.02,4,0.66
Ghetto Blaster,Rod Stewart,Electronic; Pop/Rock,Q1,0.0125,0.736,0.779,0.475,7,0.056,-10.055,1,0.0381,112.539,4,0.711
Mambo Beat,Tito Puente,Latin; Jazz,Q1,0.562,0.555,0.667,0.00883,2,0.0657,-9.899,1,0.0387,105.88,4,0.725
Ain't Going Down (Til the Sun Comes Up),Garth Brooks,Country,Q1,0.00345,0.595,0.629,3.16e-06,7,0.339,-11.265,1,0.0318,170.035,4,0.863
Deeper and Deeper [Shep's Fierce Deeper Dub],Madonna,Pop/Rock; Electronic,Q1,0.0112,0.767,0.745,0.765,7,0.0513,-10.304,1,0.0425,119.858,4,0.679
A Nigga Witta Gun,Dr. Dre,Rap,Q2,0.037,0.689,0.975,9.56e-06,10,0.35,-2.498,0,0.219,87.284,4,0.521
Mr. Smooth,Michael Franks,Vocal; Jazz,Q3,0.27,0.83,0.428,3.75e-05,10,0.158,-11.39,0,0.0944,94.83,4,0.424
Flint Hill Special,Lester Flatt,Country,Q1,0.58,0.285,0.893,0.609,7,0.317,-11.09,1,0.109,171.493,4,0.906
Broke,D.R.I.,Pop/Rock,Q2,0.00147,0.335,0.942,0.00347,11,0.308,-6.795,0,0.0856,96.674,4,0.301
Nico Lost One Small Buddha,Joe Henry,Pop/Rock; Country,Q2,0.373,0.528,0.666,0.619,4,0.489,-11.384,0,0.0534,98.719,4,0.63
Do You Know the Way to San Jose?,Burt Bacharach,Easy Listening; Pop/Rock; R&B,Q4,0.535,0.568,0.659,0.0,5,0.735,-7.64,1,0.12,76.02,4,0.459
Transit,Fennesz,Avant-Garde; Electronic; Pop/Rock,Q3,0.752,0.311,0.348,0.00958,2,0.0872,-13.707,1,0.0445,132.462,3,0.0873
Big Bad Bill,Spike Jones,Comedy/Spoken; Jazz,Q1,0.966,0.828,0.497,0.0189,0,0.295,-9.214,1,0.088,145.733,4,0.978
The Cat's Dreamin',Clifton Chenier,International,Q3,0.864,0.536,0.335,0.00205,7,0.111,-15.117,1,0.0338,68.477,4,0.951
Red Red,Beenie Man,Reggae,Q1,0.114,0.769,0.858,0.0,7,0.23,-2.572,1,0.101,99.947,4,0.844
The Sheik of Araby,Spike Jones,Jazz; Comedy/Spoken,Q1,0.975,0.674,0.48,0.275,5,0.0804,-12.447,1,0.274,134.965,4,0.949
Is It Because I'm Black?,Ken Boothe,Reggae; R&B,Q3,0.141,0.736,0.442,0.0308,10,0.102,-13.887,0,0.0569,147.054,4,0.945
Chico and the Man,José Feliciano,Vocal; Pop/Rock,Q1,0.717,0.698,0.667,0.0,9,0.141,-7.864,1,0.0492,87.138,4,0.901
The Lily of the Valley,Johnny Cash,Country; Pop/Rock; Religious,Q4,0.93,0.604,0.17,0.0,1,0.107,-12.946,1,0.0577,174.124,3,0.826
Spiritual Garden,Kitaro,New Age; Electronic,Q4,0.827,0.0869,0.31,0.904,0,0.522,-13.125,1,0.0339,167.201,3,0.0684
Television,Baxter,Electronic,Q3,0.0474,0.553,0.778,0.04,8,0.0805,-8.295,0,0.0531,160.124,4,0.49
Searchin' for One Soul,Arrested Development,Folk; International,Q1,0.809,0.325,0.325,3.46e-05,7,0.678,-23.777,1,0.451,92.972,3,0.641
Someone Told My Story,Merle Haggard,Country,Q4,0.695,0.631,0.396,2.65e-06,9,0.258,-11.597,1,0.0298,130.172,4,0.644
Miracle,Céline Dion,Children's; Pop/Rock,Q4,0.849,0.316,0.251,3.77e-06,6,0.108,-11.291,1,0.0356,125.957,4,0.15
Beer Run,Garth Brooks,Country,Q1,0.642,0.473,0.779,0.000368,7,0.0624,-8.945,1,0.0823,156.54,4,0.875
Billie's Blues,Billie Holiday,Jazz; Vocal,Q3,0.975,0.55,0.447,0.806,1,0.82,-12.403,1,0.0773,80.978,4,0.484
Carnal Tomb,Dismember,Electronic; International; Pop/Rock,Q2,7.06e-05,0.16,0.994,0.794,1,0.414,-2.521,1,0.243,96.079,4,0.0792
When Things Go Wrong,Robin Lane & The Chartbusters,Pop/Rock,Q3,0.0118,0.748,0.706,2.22e-05,9,0.101,-10.624,0,0.0327,118.371,4,0.787
My Life,Agnostic Front,Pop/Rock,Q2,0.000142,0.432,0.98,0.00017,1,0.513,-4.348,1,0.135,91.128,4,0.376
Agua de Beber,Antônio Carlos Jobim,Latin; International; Jazz,Q4,0.545,0.659,0.261,0.787,4,0.0768,-20.265,0,0.0437,137.315,4,0.881
Beautiful Boy,Céline Dion,Children's; Pop/Rock,Q4,0.611,0.73,0.45,2.28e-05,7,0.374,-10.72,1,0.0469,111.048,4,0.603
Ecclesiastes,Stevie Wonder,Classical; Religious; Stage & Screen,Q3,0.511,0.111,0.122,0.89,0,0.118,-19.93,0,0.0385,171.021,3,0.124
Keep Hope Alive,Graham Coxon,Pop/Rock,Q3,0.884,0.475,0.233,0.854,4,0.0975,-19.362,0,0.0313,85.132,4,0.261
Just Because,Paul McCartney,Electronic; Pop/Rock,Q1,0.00105,0.441,0.644,0.000181,0,0.459,-11.4,1,0.0373,113.663,4,0.756
Sobremesa,Juan Luis Guerra,Latin; Pop/Rock,Q3,0.89,0.285,0.26,0.000485,9,0.149,-10.901,0,0.035,115.684,4,0.162
Angelitos Negros,Roberta Flack,R&B; Classical; Folk,Q3,0.862,0.335,0.141,0.00495,4,0.108,-17.09,0,0.0373,141.387,4,0.0858
Lost in Tha System,Da Lench Mob,Rap,Q2,0.0362,0.819,0.781,0.0,10,0.473,-10.161,0,0.205,97.734,4,0.668
The Shallow Sky,Controlled Bleeding,Pop/Rock; Electronic,Q3,0.54,0.464,0.387,0.915,10,0.0854,-15.785,0,0.0401,110.776,4,0.0916
Redneck Stomp,Obituary,Pop/Rock,Q2,0.000256,0.245,0.861,0.871,2,0.216,-8.728,1,0.0415,91.056,4,0.483
Everybody Wants the Same Thing,Scissor Sisters,Electronic; Pop/Rock,Q1,0.0525,0.695,0.748,0.0,7,0.338,-4.236,1,0.025,107.04,4,0.704
One; Two; Button Your Shoe,Billie Holiday,Blues; Jazz; Vocal,Q1,0.00776,0.792,0.625,0.0018,1,0.329,-5.609,1,0.0536,103.967,4,0.37
White Synthetic Noise,...And Oceans,Electronic; International; Pop/Rock,Q2,2.94e-05,0.182,0.754,0.838,1,0.186,-6.469,1,0.0735,115.772,4,0.184
Ecstasy,Tito Puente,Latin; Jazz,Q1,0.209,0.494,0.453,0.797,10,0.0567,-12.166,1,0.0374,121.303,4,0.887
Someday at Christmas,The Jackson 5,Holiday; R&B,Q1,0.394,0.584,0.624,0.0,0,0.148,-7.078,1,0.0327,111.937,4,0.69
Nothing,Pennywise,Electronic; Pop/Rock,Q2,0.000188,0.426,0.974,0.000299,6,0.293,-3.853,0,0.0832,175.029,4,0.681
I Know,John Gorka,Folk; Country,Q4,0.914,0.601,0.0557,1.05e-05,0,0.101,-18.226,0,0.0368,137.386,5,0.206
Fast Money Music,Suicide,Avant-Garde; Pop/Rock,Q2,0.0181,0.597,0.867,0.141,10,0.0768,-12.844,0,0.0416,107.109,4,0.638
Big Mouth,Gorilla Biscuits,Pop/Rock,Q2,2.02e-05,0.429,0.701,0.00127,1,0.0374,-11.364,0,0.0523,112.97,5,0.501
Hope Scope,David Murray Octet,Jazz,Q2,0.485,0.38,0.548,0.629,2,0.134,-13.715,1,0.224,75.505,4,0.358
Dead and Gone,Motörhead,Pop/Rock,Q3,0.761,0.537,0.717,0.000192,8,0.0771,-5.477,0,0.0323,102.639,4,0.61
What Should I Do,Fabolous,Rap,Q3,0.0195,0.603,0.638,0.0,1,0.0618,-6.066,1,0.0547,83.986,4,0.292
The Lord's Prayer,Larry Carlton,Jazz,Q4,0.935,0.397,0.0287,0.306,4,0.111,-28.002,1,0.0618,79.981,4,0.115
I Didn't Mean to Turn You On,Cherrelle,R&B; Pop/Rock,Q1,0.0629,0.771,0.824,0.0318,9,0.787,-10.088,1,0.057,120.247,4,0.746
A Year in a Minute,Fennesz,Electronic; Avant-Garde; Pop/Rock; Jazz,Q3,0.728,0.218,0.638,0.827,3,0.166,-9.283,0,0.0382,115.33,3,0.256
I Wish I Liked You (As Much as I Love You),Marvin Gaye,R&B,Q3,0.166,0.501,0.466,0.00186,5,0.178,-10.662,1,0.0274,77.206,4,0.726
Ballad of the Sad Young Men,Roberta Flack,R&B; Jazz,Q3,0.905,0.216,0.101,0.0145,10,0.144,-16.689,1,0.037,77.667,3,0.158
Absence of the Heart,Deana Carter,Country; Pop/Rock,Q3,0.726,0.593,0.305,1.43e-05,6,0.099,-10.657,1,0.0245,85.017,4,0.115
Prevails,Still Breathing,Electronic; Pop/Rock,Q2,6.4e-06,0.451,0.959,0.303,9,0.351,-4.183,1,0.166,113.006,4,0.0991
Brahms' Lullaby,Kenny G,Holiday; Jazz,Q4,0.954,0.254,0.188,0.296,3,0.142,-13.29,1,0.0366,139.813,4,0.147
All Fall Down,Against All Authority,Pop/Rock,Q2,0.00816,0.322,0.987,0.163,11,0.104,-2.711,0,0.0585,89.016,4,0.794
Modulation,Ani DiFranco,Folk; Pop/Rock,Q3,0.673,0.677,0.445,0.215,7,0.14,-10.892,0,0.0311,81.208,4,0.524
Love Fool,Taxi,Electronic; International,Q3,0.766,0.654,0.583,0.0308,10,0.0844,-12.617,0,0.0573,92.152,4,0.572
You Turned the Tables on Me,Ella Fitzgerald,Jazz; Vocal,Q3,0.815,0.476,0.281,0.0,0,0.0894,-10.959,1,0.0586,96.218,4,0.44
Underground Authority,Within Reach,Electronic; International; Pop/Rock,Q2,4.79e-06,0.434,0.988,0.908,7,0.153,-4.698,1,0.156,106.621,4,0.48
Ode to a Butterfly,Nickel Creek,Country,Q1,0.103,0.361,0.707,0.362,9,0.361,-8.796,1,0.0303,138.843,4,0.557
I Like,The Isley Brothers,R&B,Q1,0.167,0.586,0.766,0.0,9,0.156,-6.674,0,0.0732,133.187,5,0.759
Pyramids,Kraut,Pop/Rock,Q2,4.27e-06,0.332,0.91,0.000419,11,0.0869,-11.177,0,0.0614,118.621,4,0.345
Come Together,Third Day,Religious,Q1,0.114,0.451,0.913,7.31e-05,0,0.147,-5.348,1,0.055,97.93,4,0.501
Wade in the Water,Eva Cassidy,Pop/Rock,Q4,0.701,0.648,0.375,2.44e-06,10,0.0998,-10.823,0,0.033,112.668,4,0.612
2000 Watts,Michael Jackson,Pop/Rock,Q1,0.0094,0.763,0.742,0.0116,0,0.0672,-3.113,1,0.155,90.503,4,0.242
For the First Time,Kenny Chesney,Country,Q4,0.089,0.539,0.775,3.7e-05,7,0.071,-7.43,1,0.0378,81.8,4,0.339
