Nome da Faixa,Cantor ou Compositor,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Genero_Avant-Garde,Genero_Blues,Genero_Children's,Genero_Classical,Genero_Comedy/Spoken,Genero_Country,Genero_Easy Listening,Genero_Electronic,Genero_Folk,Genero_Holiday,Genero_International,Genero_Jazz,Genero_Latin,Genero_New Age,Genero_Pop/Rock,Genero_R&B,Genero_Rap,Genero_Reggae,Genero_Religious,Genero_Stage & Screen,Genero_Vocal,Quadrante_Q1,Quadrante_Q2,Quadrante_Q3,Quadrante_Q4,target
Amor Gitano,Beyoncé,0.30914999115566016,0.4294460641399416,0.48556531140737114,0.0,0.26666666666666666,0.21097302212791752,0.8445034814800607,0.0,0.6271604938271607,0.6293267188163847,12,0.4398523985239852,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,Quadrante_Q4
Amrita,Steven Halpern,0.6431370815241159,0.11632653061224489,0.056055942592576444,0.6006557377049181,0.0,0.07902394665050014,0.333387681506915,0.6000000000000001,0.10296296296296296,0.6788406267962913,9,0.024797047970479706,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Quadrante_Q4
Angelitos Negros,Roberta Flack,0.563398480692508,0.29300291545189505,0.09058410135235286,0.0032459016393442627,0.26666666666666666,0.09184601394361927,0.5147986879711508,0.0,0.09209876543209879,0.5300289905780622,12,0.06332103321033211,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Quadrante_Q3
Animal City,Shakira,0.17690591819176418,0.9107871720116617,0.716842940473803,0.0,0.5333333333333333,0.4652925128826917,0.8372623865881497,0.0,0.35226337448559675,0.6999375203059006,16,0.8718327183271833,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,Quadrante_Q1
Another Victim,Faith,0.00431324174695623,0.13469387755102039,0.19565084707338976,0.1960655737704918,0.24444444444444446,0.12155198545013639,0.9115627337770703,0.0,0.08395061728395063,0.12357608777147429,4,0.19827798277982783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
Anutha Zone,Dr. John,0.11503224978691004,0.4285714285714285,0.3087828824037178,0.00014295081967213115,0.3111111111111111,0.03200969990906335,0.8195384880977501,0.4,0.04098765432098766,0.23352410466598356,8,0.4590405904059041,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Quadrante_Q4
Artificial Girl,Crucifucks,0.0028971190545916104,0.1236151603498542,0.19761267427564977,7.978142076502732e-07,0.08888888888888889,0.04789330100030312,0.9335449715151632,0.0,0.04641975308641976,0.13688051383300429,4,0.15817958179581798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
As Long as I Live,Lena Horne,0.6509802225895199,0.4233236151603498,0.06252997236003452,0.5350819672131147,0.6666666666666667,0.46650500151561075,0.4243377515201504,0.6000000000000001,0.5135802469135803,0.2553445130332642,9,0.4686346863468635,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,Quadrante_Q4
Ask Me,Sugar Pie DeSanto,0.3115465064812003,0.14285714285714282,0.17537863265003617,0.0,0.0,0.16702030918460137,0.8787332399823529,0.4,0.05481481481481483,0.45000624796941,6,0.2523985239852399,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Quadrante_Q3
Attesa,Sarah Brightman,0.38474915642497143,0.12827988338192417,0.18671363426309406,0.025136612021857924,0.3111111111111111,0.17914519551379204,0.8501333128728445,0.4,0.05399176954732512,0.2081223602329243,8,0.059532595325953265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,Quadrante_Q4
Authority,Void,0.03028275327462741,0.06676384839650146,0.21526911909598997,0.0010557377049180328,0.08888888888888889,0.10215216732343133,0.9564671129610804,0.2,0.10041152263374487,0.1280158948341789,4,0.035424354243542434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
Baby You Don't Want Me,Furry Lewis,0.1749451329254132,0.11982507288629735,0.031729285284552135,1.7967213114754098e-05,0.11111111111111112,0.014913610184904514,0.8272687165518962,0.2,0.03004115226337449,0.1751493264688976,4,0.04378843788437885,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Quadrante_Q3
Back Inside,Obituary,2.368192871692833e-06,0.11953352769679298,0.2030621942819276,0.0005836065573770492,0.044444444444444446,0.007123370718399514,0.9594786411677825,0.2,0.12016460905349796,0.16417289380951192,4,0.04575645756457565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
Bad Day,The Blueskins,0.0002849173497528736,0.14752186588921282,0.38594808569261213,0.00021377049180327867,0.0,0.0851773264625644,0.9192258262520862,0.4,0.06765432098765432,0.37333616574613254,8,0.368019680196802,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
Bailamos,Enrique Iglesias,0.023180353309844852,0.3667638483965014,0.3842042392906032,0.001101639344262295,0.3111111111111111,0.057290087905425884,0.9200506397099727,0.4,0.06320987654320988,0.24962137305375756,8,0.2789667896678967,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Quadrante_Q1
Ballad of the Sad Young Men,Roberta Flack,0.3943352177271319,0.1259475218658892,0.04241034449685672,0.00633879781420765,0.4444444444444445,0.08093361624734766,0.686398250628201,0.4,0.06090534979423869,0.19410441606477896,6,0.0777367773677737,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Quadrante_Q3
Bananza (Belly Dancer),Akon,0.01577294230362992,0.510204081632653,0.2991917271926688,1.6655737704918031e-06,0.4444444444444445,0.43558654137617453,0.8932537931828209,0.0,0.21399176954732516,0.26202484192637393,8,0.328659286592866,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Quadrante_Q1
Bandstand Boogie,Barry Manilow,0.12026101049717941,0.18367346938775508,0.17080103584476278,0.0,0.08888888888888889,0.01749014852985753,0.9190436000230181,0.2,0.06880658436213992,0.11485892085072352,4,0.18769987699877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Quadrante_Q1
Bard Dance,Enya,0.2921565188472847,0.4206997084548105,0.10431689176817305,0.6242622950819672,0.4666666666666667,0.09275538041830857,0.3250436383864348,0.0,0.17037037037037042,0.6599505160822734,12,0.48634686346863476,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,Quadrante_Q4
Be My Dream,Suicide,0.1529407649363629,0.2997084548104956,0.3951032793031589,0.3348633879781421,0.0,0.15671415580478934,0.7854525924078799,0.0,0.0814814814814815,0.41072651388298803,8,0.07576875768757688,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
Be Your Girl,Teedra Moses,0.04531544031665183,0.2518950437317784,0.14704112861739135,1.151912568306011e-06,0.13333333333333333,0.02394665050015156,0.9419753323230968,0.0,0.31769547325102887,0.14371829155524457,4,0.06592865928659287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Quadrante_Q4
Beat the Bastards,The Exploited,8.555559712178249e-06,0.0988338192419825,0.2139612342944833,0.003890710382513661,0.17777777777777778,0.03122158229766596,0.9648399286440451,0.2,0.12345679012345681,0.15015994801689453,4,0.02484624846248463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
Beautiful Boy,Céline Dion,0.2662305803255325,0.4256559766763848,0.19456094307213417,9.967213114754098e-06,0.3111111111111111,0.2203698090330403,0.8008938676078492,0.4,0.07720164609053498,0.27752980281408546,8,0.29667896678966793,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Quadrante_Q4
Beer Run,Garth Brooks,0.13986886316068953,0.1379008746355685,0.1681852662417494,8.043715846994535e-05,0.15555555555555556,0.012549257350712334,0.9207315903554372,0.2,0.0677366255144033,0.19561142628645692,4,0.21525215252152524,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Quadrante_Q1
Bell Tower,Kitaro,0.21220005298608238,0.056851311953352766,0.06093871251820139,0.2048087431693989,0.2,0.020369809033040316,0.8831642146049528,0.2,0.04024691358024692,0.2397458326044036,3,0.06248462484624847,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Quadrante_Q4
Beneath the Crimson Vaults of Cydonia,Bal-Sagoth,6.601310396715073e-07,0.11137026239067054,0.42082501373279035,0.27234972677595626,0.4444444444444445,0.08578357077902393,0.9239253447912072,0.0,0.16790123456790126,0.4948891610226677,8,0.06691266912669128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
Beware of the Man (With the Candy in His Hand),The Dramatics,0.05468363658921777,0.16384839650145772,0.15096478302191138,0.012786885245901639,0.2,0.18732949378599575,0.9006483417413156,0.0,0.05489711934156379,0.12070577062454704,4,0.1672816728167282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Quadrante_Q2
Bichasniguz,Onyx,0.0003982071651420432,0.22944606413994167,0.12633295259353552,1.8076502732240438e-05,0.022222222222222223,0.03819339193695059,0.8988164885964744,0.2,0.3045267489711935,0.11996101267088197,4,0.03714637146371464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Quadrante_Q2
Big Bad Bill,Spike Jones,0.4209147513376678,0.4839650145772594,0.21766690789875223,0.00791256830601093,0.0,0.16035162170354653,0.8289758885926382,0.4,0.14814814814814817,0.36432909304476047,8,0.4821648216482165,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Quadrante_Q1
Big Mouth,Gorilla Biscuits,3.9150345818141865e-06,0.12507288629737606,0.1511827638221625,0.00027759562841530054,0.022222222222222223,0.0049712033949681714,0.8975313141388372,0.0,0.04304526748971194,0.14116662084822434,5,0.12324723247232473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
Billie's Blues,Billie Holiday,0.3986925183190231,0.4332361516034985,0.1601199766324582,0.00013508196721311475,0.13333333333333333,0.20763867838739009,0.8241229163869335,0.4,0.08773662551440331,0.2876540124459551,8,0.39655596555965567,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,Quadrante_Q3
Billie's Blues,Holiday & the Adventure Pop Collective,0.3986925183190231,0.4332361516034985,0.1601199766324582,0.00013508196721311475,0.13333333333333333,0.20763867838739009,0.8241229163869335,0.4,0.08773662551440331,0.2876540124459551,8,0.39655596555965567,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,Quadrante_Q3
Black Girls,Violent Femmes,0.018169457629170046,0.5317784256559765,0.3972830873056701,0.219672131147541,0.7333333333333334,0.027190057593210068,0.6039936316728369,0.0,0.17333333333333337,0.4546334941144129,12,0.4937269372693728,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
Black; Brown and White,Big Bill Broonzy,0.109149893987857,0.24460641399416905,0.17494267104953393,0.0,0.11111111111111112,0.029099727190057594,0.9559396159821995,0.0,0.04674897119341565,0.1612151050908455,4,0.2002460024600246,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Quadrante_Q4
Blood on the Motorway,DJ Shadow,0.03799517532227472,0.2029154518950437,0.24687633513240148,0.27322404371584696,0.4,0.049833282812973625,0.7951393551109662,0.0,0.06469135802469138,0.289488416264714,8,0.03301353013530136,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Quadrante_Q4
Blue Christmas,The Jordanaires,0.3163395371322805,0.35976676384839645,0.2089476758887077,0.0001363934426229508,0.17777777777777778,0.058502576538344946,0.8349989450060423,0.4,0.04279835390946503,0.25256291705195816,8,0.31143911439114397,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Quadrante_Q3
Blue Heat,Cabaret Voltaire,0.006317600019226153,0.4309037900874635,0.3379923096373671,0.34710382513661203,0.4444444444444445,0.052379508942103664,0.848963228665145,0.4,0.0694650205761317,0.3169145027865944,8,0.39458794587945883,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Quadrante_Q3
Blues de Ma Negresse,Clifton Chenier,0.4725487633515778,0.29387755102040813,0.2769576855670552,1.5344262295081966e-05,0.0,0.12003637465898757,0.6289106707843402,0.6000000000000001,0.5555555555555557,0.30058480993677056,12,0.43025830258302583,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Quadrante_Q3
Blues for O.P.,Joe Pass,0.21481443334121708,0.17784256559766762,0.016557821587074608,0.20808743169398905,0.17777777777777778,0.03182782661412549,0.7722843496441794,0.0,0.07588477366255146,0.11579986504386076,4,0.21082410824108244,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Quadrante_Q4
Blume,Einstürzende Neubauten,0.2984746047055269,0.26588921282798833,0.015555109905919483,2.408743169398907e-05,0.044444444444444446,0.06032130948772355,0.57827096081177,0.4,0.11440329218106998,0.20829230500087473,10,0.023124231242312426,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Quadrante_Q3
Body & Soul,Tuck & Patti,0.08758125605799587,0.5201166180758017,0.30965480560472225,0.00010229508196721311,0.17777777777777778,0.025219763564716578,0.8903765369343795,0.0,0.23209876543209879,0.25234798690425614,8,0.4019680196801968,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Quadrante_Q4
Borderlands,David Arkenstone,0.20130680150635455,0.28921282798833814,0.09952131416264855,0.3715846994535519,0.044444444444444446,0.039405880569869656,0.6503941841060366,0.0,0.04559670781893005,0.2547721990353135,8,0.04969249692496926,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,Quadrante_Q4
Brahms' Lullaby,Kenny G,0.41568599062739847,0.14810495626822157,0.08033900374055053,0.12939890710382512,0.13333333333333333,0.0797211276144286,0.7515968772178852,0.4,0.060246913580246926,0.3494189388448754,8,0.07232472324723248,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Quadrante_Q4
Brazil,The Coasters,0.318082457369037,0.3725947521865889,0.18496978786108514,8.918032786885245e-07,0.22222222222222224,0.06274628675356168,0.7843400533251492,0.0,0.07325102880658436,0.3658311048909105,8,0.39212792127921287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Quadrante_Q1
Break Me; Shake Me,Enrique Iglesias,0.09847450753772372,0.2682215743440233,0.2473122967329037,0.0,0.17777777777777778,0.15913913307062746,0.8943087871405828,0.4,0.05827160493827162,0.346459900532327,8,0.2597785977859779,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Quadrante_Q1
Break Yourself,Xzibit,0.04771195564219195,0.2661807580174927,0.16796728544149828,0.0,0.0,0.0029402849348287366,0.9547791226286614,0.0,0.13991769547325106,0.14608752155549448,4,0.19876998769987703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Quadrante_Q2
Breakdown,Handsome Boy Modeling School,0.17211288754068393,0.4361516034985422,0.2795734551700686,0.007562841530054644,0.0,0.07487117308275235,0.8944430590988435,0.4,0.1386008230452675,0.20125459225751635,8,0.24501845018450186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,Quadrante_Q4
Broke,D.R.I.,0.0003197757544880027,0.09766763848396501,0.20371613668268093,0.0007584699453551913,0.24444444444444446,0.086996059411943,0.9413519268026012,0.0,0.07045267489711934,0.12080323894734213,4,0.07404674046740468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
Broke Willies,Onyx,0.00036117011011096853,0.22565597667638482,0.12676891419403777,0.0,0.022222222222222223,0.02637162776598969,0.89748335986803,0.0,0.20576131687242802,0.11636468147851949,4,0.1869618696186962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Quadrante_Q2
Bronze Dance,Donald Byrd,0.17058783233352204,0.16443148688046644,0.09298189015511513,0.07278688524590164,0.17777777777777778,0.020157623522279476,0.8924002071624499,0.2,0.08477366255144034,0.12112438457501312,4,0.1685116851168512,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Quadrante_Q1
